kaart;type;straat;huisnummer;huisnummerletter;huisnummertoevoeging;postcode;plaats;stadsdeel;www;email;telefoonnummer;fax;openingstijden;bijzonderheden;;
Praktijk Fontaine;adres;Lizzy Ansinghstraat;80;;;1072RD;Amsterdam;Zuid;http://www.natuurlijkegeneeskunde.nl;info@natuurlijkegeneeskunde.nl;020 624 7918;;;praktijk voor complementaire en alternatieve geneeswijzen.                          behandelmethoden:       <ul>        <li>natuurgeneeskundig advies (voeding, fytotherapie,;;
Praktijk Fontaine;postadres;Jodenbreestraat;110;;;1011NS;Amsterdam;Centrum;http://www.natuurlijkegeneeskunde.nl;info@natuurlijkegeneeskunde.nl;020 624 7918;;;praktijk voor complementaire en alternatieve geneeswijzen.                          behandelmethoden:       <ul>        <li>natuurgeneeskundig advies (voeding, fytotherapie,;;
Logopediepraktijk TaalSignaal;adres;Werengouw;87;B;;1024NN;Amsterdam;Noord;http://www.logopedietaalsignaal.nl;info@logopedietaalsignaal.nl;06 5117 6627;;;logopediste: marieke coelen.;;
Nieuwe Tandarts Groepspraktijk Rooseveltlaan (NTGR);adres;Rooseveltlaan;118;;;1078NP;Amsterdam;Zuid;http://www.ntgr.nl;info@ntgr.nl;020 664 2331;;;tandartsen:    dhr. s. lolkema en mevr. e. van der meulen<br /> dhr. j. smeets<br /> dhr. p. van buren;;
Stichting Connect Initiatieven;adres;Javaplantsoen;19;;;1095CR;Amsterdam;Oost;http://www.connectinitiatieven.nl;info@connectinitiatieven.nl;06 3820 9549;;;connect wil jongeren die aansluiting met de reguliere samenleving missen en soms zelfs niet meer nastreven, nieuwe perspectieven bieden.<br /> <br /> connect biedt jongeren, mannen en vrouwen een p;;
Stichting Connect Initiatieven;adres;Sara Burgerhartstraat;25;;;1055KV;Amsterdam;West;http://www.connectinitiatieven.nl;info@connectinitiatieven.nl;06 3820 9549;;;connect wil jongeren die aansluiting met de reguliere samenleving missen en soms zelfs niet meer nastreven, nieuwe perspectieven bieden.<br /> <br /> connect biedt jongeren, mannen en vrouwen een p;;
Tandartspraktijk De Parel;adres;Herculesstraat;115;;;1076SJ;Amsterdam;Zuid;;tandartspraktijkdeparel@edpnet.nl;020 676 1676;;;tandarts: mevr. l. al-saadi.;;
Rammeloo training, advies & onderzoek;adres;Nachtwachtlaan;192;;;1058EG;Amsterdam;Nieuw West;;;020 689 0266;;;dhr. r.g. rammeloo, psycholoog / trainer.;;
Regionaal Instituut voor Dyslexie, vestiging Amsterdam;adres;IJsbaanpad;9;;;1076CV;Amsterdam;Zuid;https://www.rid.nl;amsterdam@rid.nl;020 716 2680;;;het regionaal instituut voor dyslexie is een gespecialiseerd instituut waar kinderen (vanaf 6-7 jaar) en volwassenen met lees-, spelling en andere taalproblemen voor een uitgebreid diagnostisch;;
Servicepunt Emancipatie (SPE);adres;Weerdestein;97;;;1083GG;Amsterdam;Zuid;http://www.spe-amsterdam.nl;info@spe-amsterdam.nl;020 540 8595;020 644 5937;;"het servicepunt emancipatie (spe) is het centrale informatie- en adviespunt voor amsterdamse vrouwenorganisaties &amp; initiatieven.<br /> het spe ondersteunt vrouwenorganisaties bij hun activiteit";;
Servicepunt Emancipatie (SPE);postadres;Postbus;7960;;;1008AD;Amsterdam;;http://www.spe-amsterdam.nl;info@spe-amsterdam.nl;020 540 8595;020 644 5937;;"het servicepunt emancipatie (spe) is het centrale informatie- en adviespunt voor amsterdamse vrouwenorganisaties &amp; initiatieven.<br /> het spe ondersteunt vrouwenorganisaties bij hun activiteit";;
Ontmoetingscentrum Amira / Stichting Aminah;adres;Bos en Lommerweg;387;;;1061DH;Amsterdam;West;;;020 756 6619;;;"amira is een ontmoetingsruimte in de&nbsp;wijk bos &amp; lommer (kolenkitbuurt). stichting aminah stimuleert vrouwen in hun groei, persoonlijk en geestelijk.";;
Activiteitencentrum Vrankendijke;adres;Saaftingestraat;316;;;1069BW;Amsterdam;Nieuw West;http://www.nieuwamstelrade.nl;acvrankendijke@nieuwamstelrade.nl;020 756 7000;;;activiteitencentrum voor mensen met een lichamelijke beperking.;;
MoleMann Mental Health vestiging IJburg;adres;Franz Zieglerstraat;26;;-32;1087HN;Amsterdam;Oost;http://www.molemann.nl/tielens/;amsterdamijburg@molemann.nl;020 4167 706;;;molemann mental health behandelt kinderen en volwassenen met psychische en psychiatrische problemen.;;
Kinder Oefentherapie Stegeman en Van Motman;adres;Kuipersstraat;145;C;;1073ER;Amsterdam;Zuid;http://www.oefentherapie-kind.nl;kindot@xs4all.nl;;;;kinderoefentherapie biedt hulp bij motorische ontwikkelingsproblemen van kinderen van 0-16 jaar.             zowel individuele therapie als groepscursussen.;;
Woonbegeleiding De Eerste Helmer;adres;Eerste Helmersstraat;40;;;1054DJ;Amsterdam;West;http://www.volksbond.nl;nicky.van.den.bosch@volksbond.nl;088 445 4140;;;"de 1ste helmerstraat is een woonvorm voor jongeren tussen de 18 en de 23 jaar waar ze worden voorbereid op zelfstandig wonen. de verblijfsduur is maximaal &eacute;&eacute;n jaar.";;
PuntP volwassenen;adres;Roetersstraat;210;;;1018WE;Amsterdam;Centrum;http://www.puntp.nl;;020 590 5600;;;puntp behandelt psychische en psychiatrische problemen. ook geeft puntp informatie ter voorkoming van psychische problemen.;;
PuntP volwassenen;adres;Strekkerweg;77;;;1033DA;Amsterdam;Noord;http://www.puntp.nl;;020 590 5600;;;puntp behandelt psychische en psychiatrische problemen. ook geeft puntp informatie ter voorkoming van psychische problemen.;;
Roads;adres;Obiplein;16;;;1094RB;Amsterdam;Oost;http://www.roads.nl;aanmelden@roads.nl;020 590 8590;;;"roads begeleidt mensen met complexe psychiatrische problematiek, verslavings- of justiti&euml;le achtergrond naar werk.";;
SmallSteps Kinderopvang;postadres;Postbus;586;;;7550AN;Amsterdam;;http://www.smallsteps.info;info@smallsteps.info;;074 250 7112;;"smallsteps&nbsp;heeft verschillende kindercentra (kinderdagverblijven en naschoolse opvang) in amsterdam.";;
Sense spreekuren voor jongeren;adres;Weesperplein;1;;;1018WZ;Amsterdam;Centrum;http://www.ggd.amsterdam.nl/;;020 555 5822;;;sense biedt jongeren informatie over seksualiteit, anticonceptie, ongewenste zwangerschap en seksueel geweld. <br />;;
Sense spreekuren voor jongeren;adres;Reigersbos;309;;;1107EZ;Amsterdam;Zuidoost;http://www.ggd.amsterdam.nl/;;020 555 5822;;;sense biedt jongeren informatie over seksualiteit, anticonceptie, ongewenste zwangerschap en seksueel geweld. <br />;;
Sense spreekuren voor jongeren;adres;Termini;22;;;1022LB;Amsterdam;Noord;http://www.ggd.amsterdam.nl/;;020 555 5822;;;sense biedt jongeren informatie over seksualiteit, anticonceptie, ongewenste zwangerschap en seksueel geweld. <br />;;
Vrijwilligers Informatie Punt (VIP) Bos en Lommer;adres;Karel Doormanstraat;125;;;1055VE;Amsterdam;West;http://www.abc-west.nl/vip-bos-lommer;bosenlommer@abc-west.nl;020 686 1400;;;"het vrijwilligers informatie punt (vip) ondersteunt mensen en organisaties in amsterdam west bij alles wat met vrijwilligerswerk heeft te maken.    hulp aan vrijwilligers:<br /> &bull; begeleidin";;
Huisartsenpraktijk Hoofdweg 366;adres;Hoofdweg;366;;;1056DD;Amsterdam;West;http://www.docvadis.nl/praktijkhoofdweg366;praktijk@hoofdweg366.nl;020 618 3207;020 616 3065;;huisartsen:<br /> dhr. g. de bruijn<br /> mevr. l. van rhijn<br /> dhr. m. roest;;
Huisartsencentrum Pniel;adres;Bos en Lommerweg;189;;;1055DT;Amsterdam;West;http://www.huisartsencentrumpniel.nl;assistenten@huisartsencentrumpniel.nl;020 686 8696;020 580 0359;;huisarts:<br /> mevr. k. duiser<br /> mevr. m. arts<br /> c. hiemstra;;
Huisartsenpraktijk de Admiraal;adres;Admiraal De Ruijterweg;215;A;;1056GH;Amsterdam;West;http://www.huisartspraktijkadmiraal.nl;info@huisartspraktijkadmiraal.nl;020 612 1412;;;"huisartsen:<br /> dhr. h. veeken<br /> mevr. n. vucetic<br /> mevr. m. van bon<br /> &nbsp;";;
Huisartsenpraktijk Leijssen;adres;Admiraal De Ruijterweg;274;;;1055MR;Amsterdam;West;;praktijkleijssen@hotmail.com;020 684 7314;020 682 0594;;huisarts:             dhr. h.j.h. leijssen;;
Bos en Lommer Dokters;adres;Reinaert de Vosstraat;25;;;1055CL;Amsterdam;West;http://www.bosenlommerdokters.nl;;020 682 3867;020 486 1747;;huisartsen:<br /> mevr. a.y. seignette-shauli.<br /> dhr. poelman.;;
Antroposofische huisartsenpraktijk Grannetia;adres;Johannes Verhulststraat;41;;hs;1071MS;Amsterdam;Zuid;http://grannetia-huisarts.praktijkinfo.nl;;020 675 3701;020 471 1609;;huisartsen:             mevr. p.m. grannetia;;
Huisartsenpraktijk Bloemgracht;adres;Bloemgracht;300;;;1015TV;Amsterdam;Centrum;https://www.huisartsenpraktijkbloemgracht.nl;;020 623 6182;;op afspraak.;bij de huisartsenpraktijk bloemgracht werken vier huisartsen in twee gescheiden praktijken.    dhr. r. bos<br /> mevr. e. tibosch    mevr. r. hezemans<br /> dhr. p. lips;;
Huisartsenpraktijk De Bruijne;adres;Geldersekade;89;H;;1011EL;Amsterdam;Centrum;;;020 624 3052;020 620 2289;;huisarts:<br /> dhr. c. de bruijne (ma, di, do en vr).<br /> mevr. i. kagenaar (wo).;;
Expat Medical Centre Amsterdam;adres;Bloemgracht;112;;;1015TN;Amsterdam;Centrum;http://www.expatmc.net;doctor@planet.nl;020 427 5011;;;"huisartsenzorg, fysiotherapie en psychotherapie&nbsp;voor expats, toeristen and hotelgasten in amsterdam.";;
Huisartsenpraktijk Dekens en Oudemans;adres;Sint Antoniesbreestraat;32;B;;1011HB;Amsterdam;Centrum;http://www.huisartsdekensoudemans.praktijkinfo.nl;;020 624 6804;020 639 3099;spreekuur op afspraak.;huisartsen:             dhr. w. dekens             mevr. c. oudemans;;
Huisartsenpraktijk Grooff;adres;Laagte Kadijk;146;;;1018ZD;Amsterdam;Centrum;http://www.huisartsgrooff.nl;huisartsgrooff@hotmail.com;020 620 8074;020 638 8166;;huisartsen:<br /> mevr. b.g.m. grooff, homeopatisch huisarts    u kunt hier specifiek terecht met vragen omtrent homo-, bi- en transseksualtiteit.;;
Huisartsenpraktijk Groot;adres;Brouwersgracht;54;;-56;1013GX;Amsterdam;Centrum;;;020 624 7751;020 620 6849;;huisartsen:             mevr. a.c. groot;;
Huisartsenpraktijk Prinsengracht;adres;Prinsengracht;83;;;1015DN;Amsterdam;Centrum;http://www.prinsengrachtpraktijk.nl;info@prinsengrachtpraktijk.nl;020 622 1115;020 624 3239;;huisartsen:<br /> dhr. a. van grunsven<br /> dhr. f.x.w.m. hofman<br /> mevr. b. stoks;;
Huisartsenpraktijk Reguliersgracht;adres;Reguliersgracht;78;C;;1017LV;Amsterdam;Centrum;http://reguliersgracht.praktijkinfo.nl/;;020 344 9247;020 623 4041;;huisartsen:    w. van kernebeek    o.n. zeylstra    mw. f.w. van der waals    mw. l.c.c. avenarius;;
Huisartsenpraktijk Heijnen en De Meij;adres;Oudezijds Voorburgwal;151;;;1012ES;Amsterdam;Centrum;https://heijnendemeij.zorgrotonde.net/;info@oudezijds151.nl;020 622 7471;;;huisarts:             dhr. a.m. heijnen, tevens seksuoloog             dhr. a. de meij                      u kunt bij dhr. a.m. heijnen specifiek terecht met vragen omtre;;
Huisarts aan de Prinsengracht;adres;Prinsengracht;762;;;1017LD;Amsterdam;Centrum;http://www.huisartsaandeprinsengracht.nl;;020 622 7881;;;huisartsen:             dhr. m.f. huygen             mevr. n.a. siewertsz van reesema       u kunt hier specifiek terecht met vragen omtrent homo-, bi- en transseksualtiteit.   </sp;;
Huisartsenpraktijk De Wetering;adres;Derde Weteringdwarsstraat;6;;;1017TC;Amsterdam;Centrum;http://wetering.praktijkinfo.nl/;;020 344 6393;020 344 6394;;huisartsen:<br /> mevr. m.m.p. seebregts<br /> dhr. m.w. kaaij<br /> dhr. w. vermeulen;;
Huisartsenpraktijk de Leau;adres;Nicolaas Witsenkade;13;;;1017ZR;Amsterdam;Centrum;http://www.huisartsdeleau.praktijkinfo.nl;;020 623 6614;020 638 9431;;huisartsen:             dhr. e.f. de leau             mw. a.g.m.b. heemskerk;;
Huisartsenpraktijk Lith;adres;Willemsstraat;124;;;1015JE;Amsterdam;Centrum;;;020 420 7755;;;huisarts:             dhr. r.f. lith;;
Huisartsenpraktijk Nijkerk en Wesseling;adres;Tweede Lindendwarsstraat;5;H;;1015LH;Amsterdam;Centrum;http://nijkerkenwesseling.praktijkinfo.nl;;020 625 4294;020 638 9361;;huisartsen:             mevr. c.w. nijkerk             dhr. m.j. wesseling;;
Logopediepraktijk Osdorp;adres;Meer en Vaart;60;;;1068ZZ;Amsterdam;Nieuw West;http://www.logopedieosdorp.nl;contact@logopedieosdorp.nl;020 610 4398;;;;;
Logopediepraktijk Osdorp;adres;Dijkgraafplein;189;;;1069EN;Amsterdam;Nieuw West;http://www.logopedieosdorp.nl;contact@logopedieosdorp.nl;020 610 4398;;;;;
Logopediepraktijk Osdorp;adres;Hageland;117;;-119;1066SB;Amsterdam;Nieuw West;http://www.logopedieosdorp.nl;contact@logopedieosdorp.nl;020 610 4398;;;;;
Logopediepraktijk Osdorp;adres;Terpstraat;36;;;1069TV;Amsterdam;Nieuw West;http://www.logopedieosdorp.nl;contact@logopedieosdorp.nl;020 610 4398;;;;;
Huisartsenpraktijk Ritz;adres;Singel;261;;;1012WG;Amsterdam;Centrum;http://www.huisartsamsterdam.praktijkinfo.nl;consult@de-dokter.nl;020 622 1321;020 622 2383;;huisartsen:             dhr. r.l.p. ritz;;
Huisartsenpraktijk Robbers;adres;Singel;108;;;1015AD;Amsterdam;Centrum;http://robbers.praktijkinfo.nl;;020 626 2642;;;huisarts: dhr. a.r. robbers.;;
Huisartsenpraktijk Sarphatistraat;adres;Sarphatistraat;213;;;1018GJ;Amsterdam;Centrum;http://www.docvadis.nl/pvanderveen/index.html;;020 622 4748;020 639 1844;;huisarts:<br /> dhr. p. van der veen<br /> dhr. p. remmelts;;
Medical Centre for Seamen Amsterdam;adres;Kalkmarkt;8;;;1011BD;Amsterdam;Centrum;http://www.havenarts.nl;info@havenarts.nl;020 625 2707;020 622 0907;;<strong>specialisaties: </strong>    praktijk voor zeevarenden en binnenvaartschippers    keuringsarts voor de scheepvaartinspectie    arts radio medische dienst voor de scheepvaart;;
Huisartsenpraktijk Van Alkemade;adres;Hoofdweg;325;;;1056CM;Amsterdam;West;http://huisartsvanalkemade.praktijkinfo.nl;;020 618 9724;;;huisartsen:<br /> dhr. j.g. van alkemade<br /> mevr. m.j. lenselink-grasman;;
Huisartsenpraktijk Postjesweg;adres;Postjesweg;31;;;1057DV;Amsterdam;West;http://postjesweg.praktijkinfo.nl/;hapostjes@mac.com;020 618 8636;020 612 8906;spreekuur op afspraak.;huisartsen:             dhr. a.j.p. boeke             dhr. r.j. hart de ruyter             mevr. p. ooms             mevr. f. bassuoni             mevr. a. westeman-van der w;;
Huisartsenpraktijk Bonaire;adres;Bonairestraat;1;;;1058XC;Amsterdam;West;https://bonaire.praktijkinfo.nl/;;020 618 3828;020 612 6331;;huisarsten:<br /> mevr. m. bakker<br /> dhr. a. schoch<br />;;
Huisartsenpraktijk Foppen;adres;Hoofdweg;307;;- 309 hs;1057CZ;Amsterdam;West;http://www.huisartsenpraktijkfoppen.nl;rmfoppen@xs4all.nl;020 618 2004;020 683 5867;;huisarts:             dhr. r.m. foppen;;
Huisartsenpraktijk Akyuz;adres;Admiralengracht;110;;;1057GE;Amsterdam;West;http://www.admiralengracht.nl;;020 616 7457;020 412 3089;;huisarts:<br /> dhr. a. akyuz;;
Huisartsenpraktijk Jongens;adres;Cabralstraat;2;A;;1057CG;Amsterdam;West;http://huisartsjongens.praktijkinfo.nl;;020 618 2187;020 689 1316;;huisarts:             dhr. b. jongens;;
Huisartsenpraktijk van Randen;adres;Hoofdweg;381;;;1056CR;Amsterdam;West;https://huisartsranden.praktijkinfo.nl;;020 618 1881;;;huisarts:             dhr. w.s. van randen;;
Huisartsenpraktijk Confucius;adres;Confuciusplein;37;;;1064LG;Amsterdam;Nieuw West;https://confucius37.praktijkinfo.nl;;020 613 0110;;spreekuur op afspraak.;"huisartsen:<br /> - dhr. courant en mevr. brinks.<br /> - mevr. elsas,&nbsp;dhr. hoekstra en dhr. faloun.";;
Huisartsenpraktijk Van Heerde;adres;De Tourton Bruynsstraat;3;;;1063XL;Amsterdam;Nieuw West;https://huisartsvanheerde.praktijkinfo.nl/;;020 613 1237;020 411 6942;;huisartsen:<br /> mevr. m. van heerde<br /> dhr. j. heun;;
Huisartsenpraktijk Flapper;adres;Sam van Houtenstraat;1;b;;1067JA;Amsterdam;Nieuw West;https://www.praktijkflapper.nl/;;020 613 1030;;;huisartsen:<br /> dhr. w. flapper<br /> mevr. t. kruse-obbens;;
Huisartsenpraktijk Averoes;adres;Confuciusplein;95;;;1064LG;Amsterdam;Nieuw West;http://pastoorvanderhorsthuisartsen.praktijkinfo.nl/;;020 613 0099;020 613 2554;;huisartsen:<br /> dhr. p. van der horst<br /> mevr. e.m. pastoor     momenteel neemt de praktijk geen nieuwe patienten aan.;;
Huisartsenpraktijk D.E. Mulder;adres;Slotermeerlaan;105;F;;1063JN;Amsterdam;Nieuw West;https://huisartspraktijkdemulder.praktijkinfo.nl/;;020 613 1717;020 611 0358;;huisarts:<br /> d.e. mulder;;
Huisartsenpraktijk Otjes en Strikwerda;adres;Burgemeester De Vlugtlaan;115;;;1063BJ;Amsterdam;Nieuw West;http://www.otjes-strikwerda.nl;otjes-strikwerda@planet.nl;020 613 1141;;;deze huisartsenprakijk is onderdeel van het gezondheidscentrum slotermeer.    huisartsen:<br /> dhr. r.p.a. otjes<br /> dhr. p.p. strikwerda<br /> mw. s.s.gilani    mw. m.volp;;
Huisartsenpraktijk Runhert en Busser;adres;Nolensstraat;358;C;;1067KP;Amsterdam;Nieuw West;https://busser.praktijkinfo.nl/;;020 448 9510;020 611 3351;;huisartsen:<br /> dhr. r. runhert<br /> mevr. w. busser<br /> mevr. j. leeuw;;
Huisartsenpraktijk Scheepers;adres;Slotermeerlaan;105;G;;1063JN;Amsterdam;Nieuw West;http://huisartsenpraktijk-dvscheepers.praktijkinfo.nl;;020 613 0044;020 411 9536;;huisarts: mevr. d.v. scheepers.;;
Huisartsenpraktijk Visser en de Roo;adres;Nolensstraat;358;D;;1067KP;Amsterdam;Nieuw West;http://www.huisartsenpraktijkamsterdamwest.nl/;info@huisartsenpraktijkamsterdamwest.nl;020 448 9560;;;huisarts:                 dhr. b.a.j. visser                 dhr. k. de roo;;
Sociaal Advocatenkantoor Spuistraat 10 Advocaten;adres;Spuistraat;10;;;1012TS;Amsterdam;Centrum;http://www.spuistraat10.nl;info@spuistraat10.nl;020 520 5100;020 665 8699;inloopspreekuur (gratis): donderdag 16.00 - 18.00 uur.;;;
Sociaal Advocatenkantoor Spuistraat 10 Advocaten;postadres;Postbus;11232;;;1001GE;Amsterdam;;http://www.spuistraat10.nl;info@spuistraat10.nl;020 520 5100;020 665 8699;inloopspreekuur (gratis): donderdag 16.00 - 18.00 uur.;;;
LOGO-FLEX;postadres;Berkenlaan;11;;;8181NP;HEERDE;;http://www.logo-flex.nl;info@logo-flex.nl;0578 690 270;;;logo-flex biedt logopedie op locatie en is een initiatief van de praatmaat groep.;;
Logopediepraktijk Haveneiland;adres;IJburglaan;727;;;1087CH;Amsterdam;Oost;http://www.gzc-haveneiland.nl/zorgverleners/logopedie/;;020 495 2279;;;;;
Logopediepraktijk Diemen en omstreken;adres;Ouderkerkerlaan;34;;;1112BE;Diemen;;http://gzcdiemenzuid.praktijkinfo.nl/pagina/39/logopediste;;020 627 3543;;;de logopediepraktijk is gevestigd binnen het gezondheidscentrum diemen-zuid.;;
Huisartsenpraktijk De Kadoelerbreek;adres;Banne Buikslootlaan;133;;;1034AC;Amsterdam;Noord;http://huisartsenpraktijk.org;;020 633 3312;;;huisartsen:<br /> dhr. j.h. berendse<br /> mevr. a. willems<br /> mevr. m.r. kinders;;
Huisartsenpraktijk Meteorensingel;adres;Meteorensingel;33;;;1033CB;Amsterdam;Noord;http://www.meteorensingel.praktijkinfo.nl;;020 631 0067;020 631 0786;;huisartsen:<br /> dhr. w.p.a. berghoef<br /> mevr. c.p. torenbeek;;
Huisartsenpraktijk Bruce;adres;Bremstraat;5;;;1031EK;Amsterdam;Noord;http://www.huisartsbruce.nl;;020 636 0630;020 334 1152;;huisartsen:<br /> mevr. a.m. bruce<br /> mevr. l. heeffer;;
Huisartsenpraktijk Buijs en Windhausen;adres;Loenermark;162;;-164;1025SP;Amsterdam;Noord;;;020 494 0925;020 494 0926;;huisartsen:                 dhr. l. buijs                 mevr. m. windhausen        u kunt hier specifiek terecht met vragen omtrent homo-, bi- en transseksualtiteit.;;
Huisartsenpraktijk Molenwijk;adres;Molenwijk;18;;;1035EG;Amsterdam;Noord;https://molenwijk.uwartsonline.nl/;;020 631 1156;;;huisartsen:<br /> mw. r. oelderik<br /> mw. s. coningsby<br /> mw. l. de bruin<br /> dhr. r. schotsman<br /> mw. p. ten avest;;
Huisartsenpraktijk Schellingwoude;adres;Schellingwouderdijk;240;;;1023NL;Amsterdam;Noord;http://www.docvadis.nl/schellingwoudeamsterdamnoord/index.html;;020 490 4231;;;huisartsen:<br /> mevr. m.c. duijn<br /> dhr. e. simons<br /> mevr. a. vossen    deelnemer van goed (gezondheid onder een dak) schellingwoude.;;
Huisartsenpraktijk Orion;adres;Orionplantsoen;1;A;;1033VG;Amsterdam;Noord;http://www.orion.praktijkinfo.nl;;020 631 5351;020 631 9977;;huisartsen:             dhr. e.k.g. lemaire             mevr. c. betist;;
Huisartsenpraktijk Antarus;adres;Antarusstraat;18;;-20;1033JL;Amsterdam;Noord;http://antarus.praktijkinfo.nl/;;020 631 5280;020 492 2924;;huisartsen:<br /> mevr. a.a. van essen-rubingh<br /> dhr. a.j. van stalborch;;
Huisartsenpraktijk Sluyter en Essink;adres;Bankwerkerij;89;;;1021NT;Amsterdam;Noord;http://www.docvadis.nl/praktijk-sluyter-en-essink/index.html;;020 636 0043;020 636 0392;;huisartsen:             mevr. e.h.m. essink             dhr. f.c.j. sluyter;;
Huisartsenpraktijk Bankwerkerij;adres;Bankwerkerij;89;;;1021NT;Amsterdam;Noord;https://bankwerkerij.huisarts.info;;020 636 0367;;;huisartsen:<br /> dhr. a.t.f. mulder<br /> mevr m. de kool-brouwer;;
Huisartsenpraktijk Franken;adres;Wingerdweg;11;;;1031BW;Amsterdam;Noord;http://www.docvadis.nl/huisartsenpraktijkfranken/index.html;assistente.franken@xs4all.nl;020 636 0413;;;huisarts:<br /> dhr. j.h. franken;;
Huisartsenpraktijk Heimansweg;adres;Heimansweg;21;;;1031TX;Amsterdam;Noord;http://www.praktijkheimansweg.nl;;020 636 0101;;;huisarts:             dhr. a.b. gietema;;
Huisartsenpraktijk Heimansweg;postadres;Postbus;37186;;;1030AD;Amsterdam;;http://www.praktijkheimansweg.nl;;020 636 0101;;;huisarts:             dhr. a.b. gietema;;
Medisch Centrum Spelderholt;adres;Spelderholt;169;;;1025BM;Amsterdam;Noord;;;020 636 6866;020 632 5443;;huisarts:<br /> dhr. d.p. harmse;;
Huisartsenpraktijk Hendriks en Tempelman;adres;Spanderswoudstraat;94;;;1024LE;Amsterdam;Noord;http://www.docvadis.nl/hendrikstempelman/index.html;;020 636 3922;;;huisartsen:             mevr. s.m.h. hendriks             dhr. a.j. tempelman             mevr. s.e.s. tjon;;
Huisartsenpraktijk Jonker en Koetsier;adres;Beverwijkstraat;9;C;;1024VL;Amsterdam;;http://www.jonkerkoetsier.nl;info@jonkerkoetsier.nl;020 636 0086;020 632 3668;spreekuur op afspraak.;huisartsen:             mevr. i. jonker             dhr. d.w. koetsier       u kunt hier specifiek terecht voor reizigersvaccinaties en met vragen omtrent homo-, bi- en transseksualtit;;
Huisartsenpraktijk Amsterdam Noord;adres;Beverwijkstraat;9;C;;1024VL;Amsterdam;;https://huisartsenpraktijkamsterdamnoord.praktijkinfo.nl;;020 494 0229;020 820 2629;maandag t/m vrijdag, op afspraak.;huisartsen:<br /> dhr. i. jans<br /> dhr. a.k. lie<br /> mevr. a. bishesar;;
Huisartsenpraktijk Micic;adres;Duindoornplein;27;;;1032CL;Amsterdam;Noord;http://www.docvadis.nl/praktijkduindoornplein/index.html;receptenduindoornplein@gmail.com;020 636 0650;020 637 0752;;huisartsen:<br /> dhr. v. micic;;
Huisartsenpraktijk Nederhof;adres;Buiksloterweg;99;;;1031CJ;Amsterdam;Noord;http://www.buiksloterweg.nl;;020 636 0258;;;huisarts:             dhr. j. nederhof;;
Huisartsenpraktijk Van den Oever en Besara;adres;Adelaarsweg;80;;;1021BW;Amsterdam;Noord;https://besaraengeels.praktijkinfo.nl;;020 636 4659;;;huisartsen:<br /> mevr. n.n. besara<br /> dhr. b. geels;;
Huisartsenpraktijk De Waal en Boon;adres;Loenermark;777;A;;1025VM;Amsterdam;Noord;;lodde.hel@planet.nl;020 494 5030;020 494 5032;geen inloopspreekuur, alleen op afspraak.;huisarts:             mevr. s.a. de waal             mevr. f. boon;;
Huisartsenpraktijk Heemstedestraat;adres;Heemstedestraat;46;;HS;1058NN;Amsterdam;Zuid;http://www.huisartsenheemstedestraat.nl;;020 615 2537;;;huisartsen:             mevr. f.m.f. van mechelen             dhr. d.c. van praag;;
Logopediepraktijk De Die (Cordaan);adres;Loenermark;900;;;1025VR;Amsterdam;Noord;https://www.cordaan.nl/logopedie;cboterman@cordaan.nl;020 568 3635;;;preventie, onderzoek en behandeling van volwassenen met stoornissen en beperkingen op het gebied van stem, spraak, taal, gehoor of slikken.             de klachten zijn meestal veroorzaakt d;;
Logopediepraktijk De Die (Cordaan);adres;Banne Buikslootlaan;139;;;1034AC;Amsterdam;Noord;https://www.cordaan.nl/logopedie;cboterman@cordaan.nl;020 568 3635;;;preventie, onderzoek en behandeling van volwassenen met stoornissen en beperkingen op het gebied van stem, spraak, taal, gehoor of slikken.             de klachten zijn meestal veroorzaakt d;;
Huisartsenpraktijk Hogeweg;adres;Hogeweg;50;;;1098CE;Amsterdam;Oost;http://www.huisartsenhogeweg.nl;;020 665 3893;020 463 9010;;huisartsen:<br /> dhr. j.j. baars<br /> mevr. a. wouters;;
Huisartsenpraktijk Betondorp;adres;Brinkstraat;84;;;1097VP;Amsterdam;Oost;http://huisartsbetondorp.praktijkinfo.nl;;020 665 2862;020 463 8655;spreekuur op afspraak.;huisartsen:             dhr. b.s. bouman             mevr. f.h. nagtegaal;;
Huisartsenpraktijk Ten Hove en De Jong;adres;Tweede Oosterparkstraat;274;F;;1092BV;Amsterdam;Oost;http://www.tenhovedejong.praktijkinfo.nl;http://www.tenhovedejong.praktijkinfo.nl;020 665 0285;020 468 2410;;huisartsen:<br /> mevr. j.h. de jong<br /> mevr. t. ten hove;;
Huisartsenpraktijk Bouwmeester en De Vries;adres;Tweede Oosterparkstraat;274;D;;1092BV;Amsterdam;Oost;http://bouwmeesterdevries.praktijkinfo.nl;;020 665 0927;;;huisartsen:<br /> mevr. e.a. bouwmeester<br /> dhr .r.r. de vries;;
Huisartsenpraktijk Camper;adres;Camperstraat;1;A;hs;1091AD;Amsterdam;Oost;http://www.praktijkcamper.nl;info@praktijkcamper.nl;020 665 0605;020 663 4571;;huisartsen:<br /> mevr. m. cohen<br /> mevr. l. doets;;
Huisartsenpraktijk Watergraafsmeer;adres;Newtonstraat;44;;;1098HE;Amsterdam;Oost;http://www.huisartsenpraktijkwatergraafsmeer.nl;;020 665 3166;020 665 8215;;<strong>huisartsen</strong><br /> dhr. j.m. dekker<br /> mevr.c. van der lugt;;
